YEAR,STATE,COUNTY_NAME,RATE_PER_100,,,,,
2023,AK,Petersburg Borough,67.6,,,,,
2023,AK,Kenai Peninsula Borough,40.9,,,,,
2023,AK,Anchorage Municipality,40.6,,,,,
2023,AK,Ketchikan Gateway Borough,34.1,,,,,
2023,AK,Matanuska-Susitna Borough,31.1,,,,,
2023,AK,Sitka City and Borough,28.2,,,,,
2023,AK,Fairbanks North Star Borough,24.4,,,,,
2023,AK,Juneau City and Borough,23.6,,,,,
2023,AK,Prince of Wales-Hyder Census Area,20.6,,,,,
2023,AK,Kodiak Island Borough,15.2,,,,,
2023,AK,Yakutat City and Borough,13.8,,,,,
2023,AK,Denali Borough,9.9,,,,,
2023,AK,Bethel Census Area,8.8,,,,,
2023,AK,Bristol Bay Borough,8.2,,,,,
2023,AK,Aleutians West Census Area,6.3,,,,,
2023,AK,Skagway Municipality,4.7,,,,,
2023,AK,Yukon-Koyukuk Census Area,2.1,,,,,
2023,AK,Wrangell City and Borough,1.9,,,,,
2023,AK,Nome Census Area,1.8,,,,,
2023,AK,Hoonah-Angoon Census Area,1.4,,,,,
2023,AK,Dillingham Census Area,1.3,,,,,
2023,AK,Southeast Fairbanks Census Area,1.1,,,,,
2023,AK,Northwest Arctic Borough,1,,,,,
2023,AK,Haines Borough,0.9,,,,,
2023,AK,Aleutians East Borough,0.5,,,,,
2023,AK,North Slope Borough,0.4,,,,,
2023,AK,Kusilvak Census Area,0,,,,,
2023,AK,Chugach Census Area,Data unavailable,,,,,
2023,AK,Copper River Census Area,Data unavailable,,,,,
2023,AK,Lake and Peninsula Borough,Data unavailable,,,,,
2023,AK,Valdez-Cordova Census Area,Data unavailable,,,,,
2023,AL,Houston County,129.8,,,,,
2023,AL,Colbert County,127.9,,,,,
2023,AL,Conecuh County,127.9,,,,,
2023,AL,Jefferson County,124,,,,,
2023,AL,Coffee County,104.2,,,,,
2023,AL,Walker County,92.2,,,,,
2023,AL,Marion County,89.8,,,,,
2023,AL,Montgomery County,88.3,,,,,
2023,AL,Mobile County,87.6,,,,,
2023,AL,Calhoun County,82.8,,,,,
2023,AL,Marshall County,81.4,,,,,
2023,AL,Etowah County,80,,,,,
2023,AL,Madison County,79.7,,,,,
2023,AL,Cullman County,75.8,,,,,
2023,AL,St. Clair County,68.8,,,,,
2023,AL,Tuscaloosa County,67.7,,,,,
2023,AL,Franklin County,65.7,,,,,
2023,AL,Winston County,65.7,,,,,
2023,AL,Shelby County,64.9,,,,,
2023,AL,Escambia County,63.4,,,,,
2023,AL,Clay County,63.2,,,,,
2023,AL,Baldwin County,62.6,,,,,
2023,AL,Marengo County,62.1,,,,,
2023,AL,Jackson County,62,,,,,
2023,AL,Monroe County,59.9,,,,,
2023,AL,Chambers County,59.5,,,,,
2023,AL,Lauderdale County,59.2,,,,,
2023,AL,Morgan County,59.1,,,,,
2023,AL,Covington County,58.7,,,,,
2023,AL,Dallas County,52.2,,,,,
2023,AL,DeKalb County,50,,,,,
2023,AL,Clarke County,48.9,,,,,
2023,AL,Randolph County,48.6,,,,,
2023,AL,Autauga County,42.7,,,,,
2023,AL,Pickens County,42.3,,,,,
2023,AL,Tallapoosa County,40.6,,,,,
2023,AL,Henry County,37.6,,,,,
2023,AL,Bibb County,37.3,,,,,
2023,AL,Lawrence County,34,,,,,
2023,AL,Cherokee County,33.3,,,,,
2023,AL,Russell County,33.3,,,,,
2023,AL,Talladega County,33.1,,,,,
2023,AL,Chilton County,31.9,,,,,
2023,AL,Pike County,31.9,,,,,
2023,AL,Dale County,30.4,,,,,
2023,AL,Choctaw County,29.5,,,,,
2023,AL,Crenshaw County,29.4,,,,,
2023,AL,Lee County,27.7,,,,,
2023,AL,Limestone County,27.7,,,,,
2023,AL,Fayette County,26.3,,,,,
2023,AL,Sumter County,21.9,,,,,
2023,AL,Perry County,20.7,,,,,
2023,AL,Bullock County,20.2,,,,,
2023,AL,Washington County,19.2,,,,,
2023,AL,Butler County,17.3,,,,,
2023,AL,Geneva County,16.4,,,,,
2023,AL,Blount County,15.7,,,,,
2023,AL,Barbour County,15.4,,,,,
2023,AL,Elmore County,15.2,,,,,
2023,AL,Hale County,14.9,,,,,
2023,AL,Wilcox County,14.7,,,,,
2023,AL,Greene County,14.4,,,,,
2023,AL,Lamar County,10.2,,,,,
2023,AL,Macon County,9.4,,,,,
2023,AL,Cleburne County,5,,,,,
2023,AL,Lowndes County,0.7,,,,,
2023,AL,Coosa County,Data unavailable,,,,,
2023,AR,Baxter County,167.3,,,,,
2023,AR,Craighead County,138.2,,,,,
2023,AR,Pulaski County,129.6,,,,,
2023,AR,Garland County,125.3,,,,,
2023,AR,Sebastian County,121.8,,,,,
2023,AR,Independence County,120,,,,,
2023,AR,Chicot County,108.1,,,,,
2023,AR,Drew County,105.8,,,,,
2023,AR,Union County,102.5,,,,,
2023,AR,Phillips County,96.5,,,,,
2023,AR,Jefferson County,94.6,,,,,
2023,AR,Miller County,93,,,,,
2023,AR,Desha County,85.3,,,,,
2023,AR,Faulkner County,82.1,,,,,
2023,AR,Bradley County,76.4,,,,,
2023,AR,Scott County,69.3,,,,,
2023,AR,Greene County,68.6,,,,,
2023,AR,Cross County,66.8,,,,,
2023,AR,Fulton County,65.8,,,,,
2023,AR,Ouachita County,65.8,,,,,
2023,AR,Arkansas County,64,,,,,
2023,AR,Stone County,63.1,,,,,
2023,AR,Polk County,60.8,,,,,
2023,AR,Izard County,60.6,,,,,
2023,AR,Washington County,60.3,,,,,
2023,AR,Clark County,59.3,,,,,
2023,AR,Cleburne County,59.3,,,,,
2023,AR,Boone County,57.9,,,,,
2023,AR,White County,56.2,,,,,
2023,AR,Sharp County,55.5,,,,,
2023,AR,Crittenden County,54.9,,,,,
2023,AR,Columbia County,54.6,,,,,
2023,AR,Lafayette County,54,,,,,
2023,AR,Mississippi County,51.5,,,,,
2023,AR,Clay County,51.1,,,,,
2023,AR,Lee County,50.4,,,,,
2023,AR,Poinsett County,48.1,,,,,
2023,AR,St. Francis County,47.9,,,,,
2023,AR,Dallas County,47.5,,,,,
2023,AR,Crawford County,45,,,,,
2023,AR,Lawrence County,44.9,,,,,
2023,AR,Johnson County,44.3,,,,,
2023,AR,Jackson County,43.1,,,,,
2023,AR,Randolph County,40.3,,,,,
2023,AR,Benton County,36.9,,,,,
2023,AR,Hempstead County,36.2,,,,,
2023,AR,Pope County,34.8,,,,,
2023,AR,Saline County,34.2,,,,,
2023,AR,Hot Spring County,33,,,,,
2023,AR,Yell County,32.1,,,,,
2023,AR,Carroll County,29.8,,,,,
2023,AR,Conway County,29.6,,,,,
2023,AR,Howard County,28.8,,,,,
2023,AR,Nevada County,28.5,,,,,
2023,AR,Little River County,27,,,,,
2023,AR,Logan County,27,,,,,
2023,AR,Grant County,25.8,,,,,
2023,AR,Searcy County,25.2,,,,,
2023,AR,Van Buren County,24.6,,,,,
2023,AR,Franklin County,23.1,,,,,
2023,AR,Madison County,22.9,,,,,
2023,AR,Ashley County,22.3,,,,,
2023,AR,Calhoun County,21.8,,,,,
2023,AR,Woodruff County,18.4,,,,,
2023,AR,Pike County,17.6,,,,,
2023,AR,Lonoke County,14.8,,,,,
2023,AR,Lincoln County,13.8,,,,,
2023,AR,Montgomery County,12.6,,,,,
2023,AR,Sevier County,9,,,,,
2023,AR,Marion County,7.9,,,,,
2023,AR,Monroe County,7.9,,,,,
2023,AR,Cleveland County,7.7,,,,,
2023,AR,Perry County,4.3,,,,,
2023,AR,Prairie County,2.4,,,,,
2023,AR,Newton County,1.9,,,,,
2023,AZ,Gila County,42,, ,,,
2023,AZ,Mohave County,41.6,, ,,,
2023,AZ,Yavapai County,40.1,, ,,,
2023,AZ,Pima County,39.6,,,,,
2023,AZ,Maricopa County,37.1,,,,,
2023,AZ,Navajo County,34.8,,,,,
2023,AZ,Cochise County,30.4,,,,,
2023,AZ,Coconino County,30,,,,,
2023,AZ,Yuma County,26.4,,,,,
2023,AZ,Graham County,24.8,,,,,
2023,AZ,La Paz County,20.2,,,,,
2023,AZ,Pinal County,9.5,,,,,
2023,AZ,Santa Cruz County,4.9,,,,,
2023,AZ,Apache County,4.5,,,,,
2023,AZ,Greenlee County,1.4,,,,,
2023,CA,Sutter County,54.3,,,,,
2023,CA,Shasta County,51.9,,,,,
2023,CA,Del Norte County,51.7,,,,,
2023,CA,Plumas County,51.6,,,,,
2023,CA,Tuolumne County,50.4,,,,,
2023,CA,Stanislaus County,47.7,,,,,
2023,CA,Butte County,45,,,,,
2023,CA,Humboldt County,43.6,,,,,
2023,CA,Mendocino County,43.4,,,,,
2023,CA,Siskiyou County,41.2,,,,,
2023,CA,Placer County,39.2,,,,,
2023,CA,Nevada County,34.5,,,,,
2023,CA,Tulare County,34.3,,,,,
2023,CA,San Luis Obispo County,33.6,,,,,
2023,CA,Santa Barbara County,32.9,,,,,
2023,CA,Fresno County,30.6,,,,,
2023,CA,Inyo County,28.8,,,,,
2023,CA,Kern County,28.7,,,,,
2023,CA,Tehama County,28.5,,,,,
2023,CA,Sacramento County,28,,,,,
2023,CA,San Francisco County,27.9,,,,,
2023,CA,Mono County,27.7,,,,,
2023,CA,Sonoma County,27.7,,,,,
2023,CA,Ventura County,27.4,,,,,
2023,CA,San Bernardino County,26.4,,,,,
2023,CA,Kings County,25.9,,,,,
2023,CA,Orange County,25.7,,,,,
2023,CA,Riverside County,24.9,,,,,
2023,CA,Lassen County,24.5,,,,,
2023,CA,Santa Cruz County,23.8,,,,,
2023,CA,Imperial County,23.6,,,,,
2023,CA,Calaveras County,23.2,,,,,
2023,CA,El Dorado County,22.6,,,,,
2023,CA,San Diego County,21.6,,,,,
2023,CA,Yuba County,21.2,,,,,
2023,CA,Monterey County,20.9,,,,,
2023,CA,Colusa County,20.4,,,,,
2023,CA,Lake County,20.3,,,,,
2023,CA,Los Angeles County,20.3,,,,,
2023,CA,Merced County,20.3,,,,,
2023,CA,Napa County,20.1,,,,,
2023,CA,Contra Costa County,20,,,,,
2023,CA,Modoc County,20,,,,,
2023,CA,Trinity County,19.8,,,,,
2023,CA,Amador County,19.4,,,,,
2023,CA,San Joaquin County,19.2,,,,,
2023,CA,Yolo County,19.2,,,,,
2023,CA,Solano County,18.8,,,,,
2023,CA,Glenn County,17.9,,,,,
2023,CA,Marin County,17.3,,,,,
2023,CA,Santa Clara County,16.2,,,,,
2023,CA,San Mateo County,15.3,,,,,
2023,CA,Alameda County,15.1,,,,,
2023,CA,Sierra County,14.9,,,,,
2023,CA,Madera County,14.1,,,Natioanl Avg: 37.5 Orx / 100 Pop,,
2023,CA,San Benito County,10.7,,,Colorado Avg: 32.4,,
2023,CA,Mariposa County,8.3,,,,,
2023,CA,Alpine County,1.8,,,SWCORC,,
2023,CO,Pueblo County,63.6,,,Delta,40.2,10th 
2023,CO,Rio Grande County,59.6,,,Montrose,28.1,
2023,CO,Cheyenne County,59.4,,,San Miguel,22.9,
2023,CO,Sedgwick County,50,,,Gunnison,20.6,
2023,CO,La Plata County,49.3,,,Ouray,14.5,
2023,CO,Mesa County,46.8,,,Hinsdale,8.6,
2023,CO,Eagle County,44.3,,,,,
2023,CO,Las Animas County,41.5,,,,,
2023,CO,El Paso County,41.3,,,,,
2023,CO,Delta County,40.2,,,,,
2023,CO,Yuma County,40,,,,,
2023,CO,Arapahoe County,38.1,,,,,
2023,CO,Broomfield County,37.1,,,,,
2023,CO,Alamosa County,35.3,,,,,
2023,CO,Baca County,34.2,,,,,
2023,CO,Otero County,33.9,,,,,
2023,CO,Chaffee County,33,,,,,
